gameID,team,is_home,shotsOnGoal,faceoffWinningPctg,powerPlayPctg,pim,hits,blockedShots,giveaways,takeaways
2022020001,SJS,0,31,0.545455,0.0,13,22,23,8,3
2022020001,NSH,1,32,0.454545,0.0,13,23,11,3,4
2022020002,NSH,0,18,0.492754,0.0,8,33,23,8,11
2022020002,SJS,1,33,0.507246,0.25,6,23,16,9,6
2022020003,TBL,0,26,0.361702,0.166667,8,19,22,15,8
2022020003,NYR,1,39,0.638298,0.25,12,24,12,17,19
2022020004,VGK,0,51,0.508475,0.2,6,25,13,3,2
2022020004,LAK,1,30,0.491525,0.0,10,23,22,16,7
2022020005,BOS,0,30,0.627119,0.333333,8,32,20,8,6
2022020005,WSH,1,35,0.372881,0.0,6,48,13,17,7
2022020006,CBJ,0,32,0.38961,0.0,4,26,22,11,10
2022020006,CAR,1,43,0.61039,0.0,4,22,9,16,18
2022020007,TOR,0,32,0.490196,0.0,8,19,15,11,12
2022020007,MTL,1,23,0.509804,0.0,8,19,23,23,8
2022020008,CHI,0,17,0.612245,0.666667,17,33,15,3,4
2022020008,COL,1,35,0.387755,0.666667,11,32,12,6,4
2022020009,SEA,0,48,0.428571,0.6,11,22,12,6,4
2022020009,ANA,1,27,0.571429,0.666667,15,15,16,10,6
2022020010,VAN,0,36,0.521127,0.125,8,31,17,10,9
2022020010,EDM,1,25,0.478873,0.75,16,39,16,17,11
2022020011,ARI,0,28,0.415385,0.4,14,35,9,5,9
2022020011,PIT,1,53,0.584615,0.333333,12,30,15,6,4
2022020012,NJD,0,37,0.608696,0.333333,8,18,9,9,6
2022020012,PHI,1,25,0.391304,0.333333,8,28,28,14,2
2022020013,OTT,0,36,0.55102,0.0,8,18,10,3,6
2022020013,BUF,1,36,0.44898,0.0,8,9,11,9,4
2022020014,FLA,0,29,0.414286,0.0,8,15,13,13,5
2022020014,NYI,1,33,0.585714,0.333333,12,37,25,20,8
2022020015,WSH,0,26,0.464286,0.0,6,33,9,14,10
2022020015,TOR,1,39,0.535714,0.333333,10,37,17,15,10
2022020016,DAL,0,29,0.5,0.5,15,30,17,9,8
2022020016,NSH,1,32,0.5,0.0,13,45,7,8,7
2022020017,NYR,0,35,0.5,0.2,17,27,13,1,4
2022020017,MIN,1,36,0.5,0.25,19,20,13,6,9
2022020018,COL,0,25,0.415385,0.25,14,17,15,12,9
2022020018,CGY,1,27,0.584615,0.4,12,26,10,10,11
2022020019,CHI,0,27,0.508772,0.0,6,41,22,9,10
2022020019,VGK,1,37,0.491228,0.0,4,20,19,11,12
2022020020,SEA,0,22,0.423077,0.166667,19,44,15,8,2
2022020020,LAK,1,27,0.576923,0.2,21,28,9,12,2
2022020021,TBL,0,39,0.285714,0.5,8,18,4,4,2
2022020021,CBJ,1,28,0.714286,0.0,4,22,13,5,3
2022020022,MTL,0,29,0.584615,0.0,6,24,16,10,3
2022020022,DET,1,40,0.415385,0.0,6,38,16,12,6
2022020023,NYR,0,41,0.491228,0.0,6,25,18,20,3
2022020023,WPG,1,34,0.508772,0.333333,4,28,13,17,12
2022020024,CAR,0,35,0.52459,0.0,15,11,9,7,17
2022020024,SJS,1,19,0.47541,0.0,11,15,22,6,11
2022020025,FLA,0,37,0.47619,0.333333,12,11,10,5,4
2022020025,BUF,1,27,0.52381,0.0,16,12,13,3,9
2022020026,VAN,0,30,0.519231,0.0,17,20,8,4,5
2022020026,PHI,1,31,0.480769,0.2,17,23,14,6,4
2022020027,ARI,0,24,0.446154,0.333333,11,29,18,5,6
2022020027,BOS,1,43,0.553846,0.333333,13,28,13,7,9
2022020028,DET,0,22,0.454545,0.0,10,23,20,9,2
2022020028,NJD,1,39,0.545455,0.0,12,19,11,13,6
2022020029,MTL,0,22,0.596491,0.0,13,21,20,14,7
2022020029,WSH,1,29,0.403509,0.5,13,26,15,10,10
2022020030,OTT,0,28,0.508475,0.5,4,53,19,8,10
2022020030,TOR,1,32,0.491525,0.5,4,37,14,14,12
2022020031,TBL,0,36,0.383333,0.25,8,21,14,11,4
2022020031,PIT,1,45,0.616667,0.5,8,41,13,13,13
2022020032,ANA,0,23,0.430769,0.0,10,14,14,9,2
2022020032,NYI,1,38,0.569231,0.0,10,18,20,19,6
2022020033,CBJ,0,25,0.574074,0.0,6,14,13,10,11
2022020033,STL,1,25,0.425926,0.333333,4,28,13,5,14
2022020034,LAK,0,34,0.536232,0.333333,14,5,20,4,7
2022020034,MIN,1,35,0.463768,0.5,14,20,7,7,5
2022020035,NSH,0,30,0.465517,0.25,16,17,18,11,10
2022020035,DAL,1,22,0.534483,0.0,10,13,14,11,8
2022020036,CGY,0,42,0.454545,0.25,10,36,14,7,10
2022020036,EDM,1,29,0.545455,0.25,10,39,13,19,4
2022020037,VGK,0,30,0.652174,0.5,4,12,20,4,6
2022020037,SEA,1,33,0.347826,0.5,8,26,9,5,4
2022020038,CHI,0,25,0.471698,0.0,18,21,17,5,13
2022020038,SJS,1,26,0.528302,0.0,6,16,3,5,7
2022020039,ANA,0,22,0.482759,0.0,8,17,12,10,4
2022020039,NYR,1,43,0.517241,0.75,2,27,13,5,5
2022020040,ARI,0,19,0.408163,0.4,12,23,18,10,1
2022020040,TOR,1,28,0.591837,0.2,12,25,7,14,9
2022020041,FLA,0,41,0.355932,0.0,10,22,19,3,1
2022020041,BOS,1,34,0.644068,0.0,12,18,22,11,8
2022020042,PIT,0,28,0.518519,0.0,6,17,17,19,2
2022020042,MTL,1,39,0.481481,0.333333,6,19,16,16,12
2022020043,VAN,0,30,0.482759,1.0,8,34,15,8,7
2022020043,WSH,1,30,0.517241,0.666667,4,37,14,7,11
2022020044,LAK,0,36,0.645161,0.0,8,13,11,7,7
2022020044,DET,1,33,0.354839,0.25,8,29,15,8,4
2022020045,COL,0,38,0.448276,0.5,14,23,17,6,2
2022020045,MIN,1,39,0.551724,0.5,10,20,11,5,4
2022020046,WPG,0,25,0.45098,0.0,8,13,11,13,8
2022020046,DAL,1,29,0.54902,0.25,10,12,17,21,5
2022020047,CAR,0,34,0.516667,0.4,10,18,10,0,4
2022020047,SEA,1,23,0.483333,0.2,10,18,15,8,6
2022020048,ANA,0,20,0.462963,0.0,23,22,13,10,7
2022020048,NJD,1,41,0.537037,0.0,15,26,7,5,8
2022020049,BOS,0,34,0.5,0.333333,13,23,13,10,4
2022020049,OTT,1,31,0.5,0.0,15,33,11,11,6
2022020050,VAN,0,35,0.383333,0.0,9,13,14,3,11
2022020050,CBJ,1,33,0.616667,0.0,11,17,16,9,7
2022020051,SJS,0,28,0.477612,0.0,6,22,21,15,6
2022020051,NYI,1,46,0.522388,0.0,6,28,15,14,7
2022020052,LAK,0,35,0.377358,0.125,12,20,12,5,5
2022020052,NSH,1,32,0.622642,0.0,18,31,17,8,10
2022020053,PHI,0,24,0.377358,0.5,16,27,16,4,6
2022020053,TBL,1,38,0.622642,0.666667,14,21,16,5,15
2022020054,BUF,0,24,0.444444,0.25,10,16,13,11,12
2022020054,EDM,1,48,0.555556,0.0,12,28,11,18,8
2022020055,VGK,0,21,0.463768,0.0,12,13,23,8,5
2022020055,CGY,1,40,0.536232,0.333333,8,21,8,15,14
2022020056,PHI,0,33,0.373134,0.166667,6,18,14,8,8
2022020056,FLA,1,36,0.626866,0.0,12,12,9,8,4
2022020057,WPG,0,28,0.461538,0.5,6,27,25,7,6
2022020057,COL,1,33,0.538462,1.0,8,26,13,7,5
2022020058,STL,0,28,0.545455,0.0,6,15,15,3,9
2022020058,SEA,1,35,0.454545,0.0,10,17,6,11,5
2022020059,ANA,0,31,0.363636,0.0,10,18,15,6,7
2022020059,BOS,1,36,0.636364,0.0,8,23,10,7,8
2022020060,ARI,0,27,0.533333,0.0,7,26,14,22,10
2022020060,MTL,1,30,0.466667,0.0,11,13,15,10,4
2022020061,DAL,0,28,0.479452,0.25,16,41,15,14,14
2022020061,TOR,1,43,0.520548,0.125,8,31,21,14,17
2022020062,LAK,0,40,0.418182,0.166667,8,28,17,12,7
2022020062,PIT,1,34,0.581818,0.333333,14,35,20,7,15
2022020063,NSH,0,26,0.544118,0.0,6,15,19,6,6
2022020063,CBJ,1,42,0.455882,0.0,10,28,20,3,9
2022020064,SJS,0,27,0.578947,0.333333,10,19,11,6,5
2022020064,NYR,1,23,0.421053,0.0,6,33,18,8,5
2022020065,WSH,0,24,0.358491,0.5,15,24,21,6,3
2022020065,OTT,1,44,0.641509,0.5,15,28,12,17,4
2022020066,NJD,0,43,0.607843,0.0,6,21,21,7,4
2022020066,NYI,1,17,0.392157,0.0,8,39,19,10,4
2022020067,VAN,0,26,0.490196,0.0,13,12,14,1,10
2022020067,MIN,1,37,0.509804,0.333333,11,21,15,7,11
2022020068,BUF,0,32,0.561404,0.2,2,11,12,6,8
2022020068,CGY,1,43,0.438596,0.0,10,29,12,4,6
2022020069,CAR,0,40,0.487179,0.4,10,18,11,7,9
