date,game_id,home_team,away_team,final_score_home,final_score_away,home_wins
2022-10-07T00:00:00,2022020001,NSH,SJS,4,1,1
2022-10-08T00:00:00,2022020002,SJS,NSH,2,3,0
2022-10-11T00:00:00,2022020003,NYR,TBL,3,1,1
2022-10-11T00:00:00,2022020004,LAK,VGK,3,4,0
2022-10-12T00:00:00,2022020005,WSH,BOS,2,5,0
2022-10-12T00:00:00,2022020006,CAR,CBJ,4,1,1
2022-10-12T00:00:00,2022020007,MTL,TOR,4,3,1
2022-10-12T00:00:00,2022020008,COL,CHI,5,2,1
2022-10-12T00:00:00,2022020009,ANA,SEA,5,4,1
2022-10-12T00:00:00,2022020010,EDM,VAN,5,3,1
2022-10-13T00:00:00,2022020011,PIT,ARI,6,2,1
2022-10-13T00:00:00,2022020012,PHI,NJD,5,2,1
2022-10-13T00:00:00,2022020013,BUF,OTT,4,1,1
2022-10-13T00:00:00,2022020014,NYI,FLA,1,3,0
2022-10-13T00:00:00,2022020015,TOR,WSH,3,2,1
2022-10-13T00:00:00,2022020016,NSH,DAL,1,4,0
2022-10-13T00:00:00,2022020017,MIN,NYR,3,7,0
2022-10-13T00:00:00,2022020018,CGY,COL,5,3,1
2022-10-13T00:00:00,2022020019,VGK,CHI,1,0,1
2022-10-13T00:00:00,2022020020,LAK,SEA,1,4,0
2022-10-14T00:00:00,2022020021,CBJ,TBL,2,5,0
2022-10-14T00:00:00,2022020022,DET,MTL,3,0,1
2022-10-14T00:00:00,2022020023,WPG,NYR,4,1,1
2022-10-14T00:00:00,2022020024,SJS,CAR,1,2,0
2022-10-15T00:00:00,2022020025,BUF,FLA,3,4,0
2022-10-15T00:00:00,2022020026,PHI,VAN,3,2,1
2022-10-15T00:00:00,2022020027,BOS,ARI,6,3,1
2022-10-15T00:00:00,2022020028,NJD,DET,2,5,0
2022-10-15T00:00:00,2022020029,WSH,MTL,3,1,1
2022-10-15T00:00:00,2022020030,TOR,OTT,3,2,1
2022-10-15T00:00:00,2022020031,PIT,TBL,6,2,1
2022-10-15T00:00:00,2022020032,NYI,ANA,7,1,1
2022-10-15T00:00:00,2022020033,STL,CBJ,5,2,1
2022-10-15T00:00:00,2022020034,MIN,LAK,6,7,0
2022-10-15T00:00:00,2022020035,DAL,NSH,5,1,1
2022-10-15T00:00:00,2022020036,EDM,CGY,3,4,0
2022-10-15T00:00:00,2022020037,SEA,VGK,2,5,0
2022-10-15T00:00:00,2022020038,SJS,CHI,2,5,0
2022-10-17T00:00:00,2022020039,NYR,ANA,6,4,1
2022-10-17T00:00:00,2022020040,TOR,ARI,2,4,0
